Observer,Primary Folder,SubFolder,Start Image #,End Image #,Image Subject(s),Notes
,,,6240152,6240307,c/e,
,,,6240310,6240310,e,
,,,6250349,6250365,c,
,,,6250375,6250375,c,
,,,6250388,6250477,c/e,
,,,6260527,6260527,u,
,,,6260545,6260547,c,
,,,6260585,6260587,c,
,,,6260596,6260599,c,
,,,6260637,6260637,c,
,,,6270769,6270778,c,
,,,6280886,6280999,c,
,,103EK113,6280001,6290078,c/e,
,,,6290149,6290217,c,
,,,6290222,6300249,c/e,
,,,6300270,6300270,e,
,,,6300323,6300412,c,
,,,6300417,6300423,c/e,
,,,7010460,7010607,c,
,,,7020651,7020652,c,
,,,7020693,7020693,p,horseback
,,,7020711,7020723,c,
,,,7020729,7020732,c,camera fell over
,,,7030962,7030962,c,
,,104EK113,7040022,7040046,c,
,,,7040094,7040117,c,
,,,7040122,7040147,c,
,,,7040153,7040165,c,
,,,7050188,7050197,c,
,,,7050267,7050287,c,
,,,7050324,7050326,c,
,,,7050355,7060356,u,
,,,7060357,7060357,m,
,,,7060385,7060387,c,
,,,7060406,7060408,c,
,,,7060447,7060461,c,
,,,7060471,7060485,c,
,,,7060488,7060513,c,
,,,7060544,7060544,e,
,,,7070553,7070553,e,
,,,7070559,7070561,c,
,,,7070691,7070700,c,
,,,7080760,7080769,c,
,,,7080818,7080848,c,
,,,7080864,7080867,c,
,,,7080874,7080875,c,
,,,7080912,7080912,c,
,,,7090933,7090963,c,
,,105EK113,7110292,7110292,e,
Clara Miller,EFK_08252018_10012018,100EK113,8250001,8250001,u,
,,,8270227,8270237,c,
,,,8290693,8290700,c,
,,,8300748,8300769,c,
,,,8300779,8300860,c,
,,,8300864,8300867,c,
,,,8310906,8310971,c,
,,101EK113,9010091,9010091,e,
,,,9010097,9010112,c,
,,,9010142,9010146,c,
,,,9010150,9010150,c,
,,,9010224,9010225,unk,
,,,9020239,9020244,e/deer?,
,,,9020291,9020291,c,
,,,9020308,9020308,c,
,,,9030482,9030482,unk,horse?
,,,9040638,9040642,p,
,,,9040662,9040662,p,
,,,9050861,9050862,p,
,,102EK113,n/a,n/a,n/a,
,,103EK113,9170927,9170927,v,
,,104EK113,9200441,9200442,turkey,
,,,9210625,9210625,P,
,,,9220820,9220820,V,
,,,9230952,9230953,V and people,
,,105EK113,9260358,9260358,deer,
,,106EK113,9300052,9300052,U,
,,,10010324,10010327,clipboard,
Clara Miller,EFK_10012018_11012018,100EK113,10020197,10020197,vehicle,
,,,10040489,10040489,E,
,,,10050685,10050686,deer,
,,101EK113,10100559,10100567,E,
,,,10100574,10100580,E,should these be counted? in the trees
,,,10110609,10110614,E,
,,,10110617,10110617,E,
,,102EK113,10160581,10160607,E,should these be counted? in the trees
,,103EK113,n/a,n/a,,
,,104EK113,10280618,10280627,People,
,,105EK113,n/a,n/a,,
